"","Breaking.Bad","Planet.Earth","Sherlock","The.Shawshank.Redemption","Human.Planet","The.Blue.Planet","The.Godfather","Interstellar","Life","Pulp.Fiction","The.Dark.Knight","The.Godfather..Part.II","The.Good..the.Bad.and.the.Ugly","Valley.Uprising","X12.Angry.Men","Boyhood","Fight.Club","Schindler.s.List","The.Decalogue","The.Lord.of.the.Rings..The.Return.of.the.King","Goodfellas","Gravity","House.of.Cards","Inception","One.Flew.Over.the.Cuckoo.s.Nest","Seven.Samurai","Star.Wars","Star.Wars..Episode.V...The.Empire.Strikes.Back","The.Lord.of.the.Rings..The.Fellowship.of.the.Ring","Casablanca","City.of.God","Forrest.Gump","It.s.a.Wonderful.Life","Once.Upon.a.Time.in.the.West","Se7en","Tell.It.on.the.Mountain","The.Lego.Movie","The.Lord.of.the.Rings..The.Two.Towers","The.Matrix"
"1","0","0","0","0.0811954899627254","0","0.061906873371309","0","0","","0","0.0475277918538677","0","0","0","0.0415155390572389","0.146863301277469","0","0.131733764945403","0","0.163453814005685","0.184560602323514","0.110905540525887","0.197865782655733","0","0","","0.0904257218813032","0","0.0747854890512051","0","0.108944176606442","0.129854850032261","0","0.0665455124344523","0.208742425137077","0","0","0","0"
"33","0","0.0702819226791484","0.0643391195705801","","0.0622630986797856","0","0.185272048530697","0","0","0.0637329710761948","0.126136630847827","","0","0.115783716153864","0","0.0835353257228701","0.0608539191361667","0.144766437728986","0.130674619918979","0.0899783632459812","0.05442395247141","0","0.0875211541526432","0","0","0.18546687260844","0","0","0","0.257072570330184","0.19390501183356","","0","0","0.0764645705488601","0","0.0615045739763496","0.0847636347674825","0"
"42","0.0733989707260446","0.0962374860905087","0","0","0","0.051330467729169","0","0","0.216586501471519","0.069679479086411","0.282300680883418","0.0808481271249915","0.103714444119584","0","0","0","0.0583690287420703","0","0.12533869230087","0","","0","0.139912236680653","0","","0","0.0767287693631499","0","0","0","0","0","0.144526267411571","0.0772472736794528","0","0.118768647822386","0","0","0.134756540360005"
"51","0.236794516806128","0","0.0687216799765158","0.122915776968382","0.125210992568886","0.300676951729486","0.0822536194598423","0.14722973858096","0.140574807447261","0.0508866966544491","0.0508093467048796","0","0.132717499195074","0.18728585390709","0.274666439213695","0.0444650726116657","0.113652719636996","0.0770578208637932","0.10846759403242","","0.0523180130966045","0","0.0881364246742419","0.378177069829804","0.112142091377145","0.40525072482926","0.166001911562779","0.208969469074253","","0.1335822800546","0","0.0786310165362904","0","","0","0.0867363567156102","0.0677747395738309","0.0543224659058046","0.452896938715499"
"62","0.236794516806128","0","0.159710935464374","0","0.125210992568886","0.394291235229898","0","0.074884468694726","0.193798036536771","0","0.0508093467048796","0","0.132717499195074","0.0599237661378394","0.258388977332489","0","0.178198047961438","0","0.170068200614877","0.374714707121856","0.0523180130966045","0.104064317092973","0.170652160139051","0.351129738313744","0.299625124088497","0.193530959727529","0.222567110804083","0.0685282822388326","","0.0545425769400177","0","0","0","","0","0.0594359400216861","0.0677747395738309","0.114259406847911",""
"75","0.138711016449446","0.13610035803789","0","0","0.0607625625436045","0.128040682496938","0.106188966111084","0.0700480063615659","","0.0656944428953966","0.0983371385587473","0","0.0739169363724183","0.0672642606638883","0.13027949527405","0","0.0551535479713926","0.0468958963547686","0.104861758217767","0.12293384775776","0.184560602323514","","0.286002207329975","0.147494011535359","0.112142091377145","0.0939169700942845","0.170983357650718","0.0685282822388326","0.203290102755899","0","0","0","0.068130335830868","","0.153128080669346","0.0671856930140528","0","0","0.258857479960324"
"130","0","0.154323300306474","0","0","0","0.242306945296685","0","0.178247901125418","0.0466019951784734","0.0496603309771867","0","0","","0.13559200444897","","0","0","0","0","0","0","0","0.0722503683459731","0","0.0961217926089815","0","0.231131635714365","0","0.090569724962894","0","0","0","0.128754232391279","0.0644724941714459","0","0.101575220215265","0","0","0"
"141","0.361165481720676","0","0","0","0.0553222149431619","0","0","0","0.266645074332347","0","","0.249022397052523","0","0","0","0","0.0583690287420703","0","0.299152185335634","0","","0","0.281717718732849","","0","0","0.0767287693631499","0","0","0","0","0","0.0312603419869728","0.0572853143531784","0","0","0.0703331711543807","0","0"
"144","0","0.0820716038990382","0","0.114827763108815","0.102824123326396","0","0","0.179211421626818","0","","0","0","0.0625421629972624","0.133847359880934","0","0.103848036240742","0","0.299947160909254","0","0","0","0.100317835935252","0","0","0.0813300052189825","0.0899037892308128","0","0","0","0.0615323254215424","","0.147784063373357","0.23240698247503","0","0.0950579341706784","0.17188845455333","0","0","0"
"150","0.0733989707260446","0","0","0.122915776968382","0","0.0562297101251136","0.167204792348709","0.0723452698862335","0","0.208553359603401","0","0","0.117339498790322","0.217047768654435","0.0682169916859094","0.0444650726116657","0","0.0770578208637932","0","","0","0.094106471732417","0","0.113352290585753","0.127157179408546","0.211719765101731","0","0.14044118683542","0.14491155994063","0.0790397031145821","0","0.0786310165362904","0.163512805994083","0.11282686480003","0","","0","0","0.14415014904765"
