"","Breaking.Bad","Planet.Earth","Sherlock","The.Shawshank.Redemption","Human.Planet","The.Blue.Planet","The.Godfather","Interstellar","Life","Pulp.Fiction","The.Dark.Knight","The.Godfather..Part.II","The.Good..the.Bad.and.the.Ugly","Valley.Uprising","X12.Angry.Men","Boyhood","Fight.Club","Schindler.s.List","The.Decalogue","The.Lord.of.the.Rings..The.Return.of.the.King","Goodfellas","Gravity","House.of.Cards","Inception","One.Flew.Over.the.Cuckoo.s.Nest","Seven.Samurai","Star.Wars","Star.Wars..Episode.V...The.Empire.Strikes.Back","The.Lord.of.the.Rings..The.Fellowship.of.the.Ring","Casablanca","City.of.God","Forrest.Gump","It.s.a.Wonderful.Life","Once.Upon.a.Time.in.the.West","Se7en","Tell.It.on.the.Mountain","The.Lego.Movie","The.Lord.of.the.Rings..The.Two.Towers","The.Matrix"
"1","0","0","0","0","0","0.16209745769077","0","0","0.353739047629554","0.189585822999686","0","0","0","0","0.0305008883858041","0.681578737454799","0","0.336738165507574","0.270977387874062","0.329873065139454","0.488680649700489","0.499297000099937","0.461218679901827","0","0","0.27815200340564","0.323182199083801","0","0","0","0.449831833562224","0.627394174059054","0","0","0.788203737070024","0","0","0.317567310287775","0"
"33","0","0.655961373606359","0.319212109896183","1.30265365128689","0.309845470326953","0","0","0","0","0.254645507827438","0.702146807896084","0.990723185143567","0","0.280280217031415","0","0.1365409231189","0.215951649887259","0.436056403628126","0","0.364310962946466","0.136525686691373","0","0.559954059300874","0","0.280785542721863","0.762977604822671","0","0.442326436795181","0","0.961602596950682","0.746964527922332","0.738342201178199","0","0.287169464615306","0","0","0.457774893240223","0","0"
"42","0","0.084605924337194","0","0","0","0.127196102077135","0","0","0.166775871755962","0","0.292177919892481","0","0.0639434812974692","0","0","0","0","0.0464305477205592","0.0857734870167708","0","","0","0.195333555790378","0","","0","0.0812367037138086","0","0","0","0","0.0731811190203668","0.119537959159902","0.0652528944767314","0","0.153663044460708","0.141354977617923","0.0685276886051797","0.143622999829449"
"51","0.846302211494078","0","0.331920074369611","0.437366905877271","0.264065714693357","0.406096298980346","0.533346472351257","0","0.325215605743309","0.164612633466374","0.159297505222407","0.0589751536839845","0.279974124091472","0.322544617035965","0.658240160407373","0.0382010407135189","0.0545971806461183","0.307657819068832","0.448817480374423","0.598191359004639","0.163447146176844","0","0.0980555348148474","0.796642841730884","0.246598306697889","0.298887089776912","0.379156907312052","0.499821050341936","0.47320708740614","0.322090990414096","0","0.325230892525303","0.0871247054963271","","0.115939826866214","0.525637788676166","0.237100055241243","0.263836197777584","0.938187128727863"
"62","0.83100485454898","0","0.661947191494222","0.41905684475248","0.320998772791339","0.830815816199012","0.405457642375547","0","0.356489385976697","0.136020581988912","0.151603633966069","0.0589751536839845","0.186215499879716","0.216120963759316","0.947888164708234","0","0.28956824550516","0.18542789384605","0.775499175810832","1.1192989849277","0.0840689607428751","0.254771649138193","0.346706698099881","0.697794565077198","0.591486051663115","0.0525383746697599","0.546208131399892","0.280268848454124","0.657776030720793","0.26721885713852","0","0.10151111598452","0.0324442863581273","","0.115939826866214","0.658346775969162","0.40917294907887","0.323012642420584","0.830022592014011"
"75","0.101057660057813","0.460171476309514","0","0","0.0648000113504212","0.19252045700217","0","0","0.532159878774039","0.177380516704954","0.0478363435299069","0.0589751536839845","0.0353472067303558","0.32795198911612","0.22209121731156","0","0.0545971806461183","0","0.540574903609392","0.12140124300969","0.427595568487928","0.436884875087445","0.501621879728946","0.0845206270965233","0.0885015386751692","0.295921377649695","0.442409078337227","0.0429627659423997","0.187117295632937","0","0","0.10151111598452","0.211548289022806","","0.78480959934728","0.359384030367043","0","0.285274572621727","0.335567728791358"
"130","0","0.890716716841364","0","0","0","0.440983004849637","0","0.337684802526905","0","0","0","0","0.462540581856208","0.756651881517222","0.514583790218457","0","0","0","0","0","0","0","0","0","0","0","0.728944967676663","0","0.23129545297276","0","0","0","0.38429393075681","0.402755761410491","0","0","0","0","0.267223589088968"
"141","0.276855361316757","0","0","0","0.0750898952805559","0","0","0.0840962641458545","0.166775871755962","0","0.309731541946129","0.498838250573964","0","0","0","0","0","0.0464305477205592","0.429549570042851","0","","0","0.231204181831286","","0","0","0.15730750859312","0","0.0786924133448545","0","0","0","0.0432210243018715","0","0","0","0.441113745363653","0","0"
"144","0","0.0347187321736766","0","0.281081527986871","0.358886611700751","0","0","0.932785322389972","0","0","0","0","0","0.59575835767305","0","0.00990666735105189","0","0.286377388341916","0","0.300075063339694","0","0.301138420690649","0","0.249175166664458","0","0.347113752437564","0","0","0","0.105819609342325","","0.0878391247087795","0.998522659987178","0","0","0.34331771978978","0","0","0"
"150","0.221884805762253","0.0293561980945","0","0.292840517125458","0","0","0.272488160351734","0","0.0535487724374413","0.294957665224855","0.139326452115625","0","0.25603713885291","0.284378849725381","0.172432381809323","0.0477513008918986","0","0.204295154819046","0.07246677762137","0.100338951341226","0.204308932721055","0.128756922413661","0","0.293914217478406","0.369085009748555","0.30793589388394","0","0.414732365938788","0.427605935879867","0.142817626910725","0","0.279649720675979","0.289097030192357","0.263627031341793","0","","0","0.0772766843053606","0.411046582088659"
