"","Breaking.Bad","Planet.Earth","Sherlock","The.Shawshank.Redemption","Human.Planet","The.Blue.Planet","The.Godfather","Interstellar","Life","Pulp.Fiction","The.Dark.Knight","The.Godfather..Part.II","The.Good..the.Bad.and.the.Ugly","Valley.Uprising","X12.Angry.Men","Boyhood","Fight.Club","Schindler.s.List","The.Decalogue","The.Lord.of.the.Rings..The.Return.of.the.King","Goodfellas","Gravity","House.of.Cards","Inception","One.Flew.Over.the.Cuckoo.s.Nest","Seven.Samurai","Star.Wars","Star.Wars..Episode.V...The.Empire.Strikes.Back","The.Lord.of.the.Rings..The.Fellowship.of.the.Ring","Casablanca","City.of.God","Forrest.Gump","It.s.a.Wonderful.Life","Once.Upon.a.Time.in.the.West","Se7en","Tell.It.on.the.Mountain","The.Lego.Movie","The.Lord.of.the.Rings..The.Two.Towers","The.Matrix"
"Breaking.Bad",1,0,0,0,0,0,0.042107596053326,0,0,0,0.160128153805087,0,0,0.0435194139889245,0,0,0.0536056267418897,0.077151674981046,0,0.0372677996249965,0.0577350269189626,0,0,0.0662266178532522,0,0,0,0,0.077151674981046,0,0,0,0,0.109108945117996,0,0.0577350269189626,0.0700140042014005,0.0577350269189626,0
"Planet.Earth",0,1,0.109108945117996,0.0608580619450185,0.0653720450460614,0,0.0343807082086265,0,0,0,0,0,0.133630620956212,0.0355334527259351,0,0,0,0,0,0.0304290309725092,0,0.117851130197758,0,0,0.0833333333333333,0,0.051434449987364,0.058925565098879,0,0,0.0710669054518702,0,0,0.0296956935458249,0,0.0471404520791032,0.114332390095006,0,0
"Sherlock",0,0.109108945117996,1,0.0796819072889596,0.256776295506548,0.106198848810718,0.0900298273212687,0.0398409536444798,0,0.0657951694959769,0,0.096523417813168,0.0291605921759902,0.0232621052599618,0,0,0.171920476518376,0,0.0796819072889596,0.0597614304667197,0.0617213399848368,0.077151674981046,0.0336717514850737,0.0353996162702394,0.027277236279499,0.0657951694959769,0.134687005940295,0,0.10309826235529,0.0336717514850737,0,0,0,0.0583211843519804,0,0.0308606699924184,0.261968415997792,0.123442679969674,0.136504726557987
"The.Shawshank.Redemption",0,0.0608580619450185,0.0796819072889596,1,0.0716114874039433,0,0.112986536573206,0,0,0.055048188256318,0,0.107676380411633,0,0.194624736040381,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0.110096376512636,0,0,0.0690065559342354,0.169030850945703,0.155699788832305,0.187867287325545,0,0,0,0,0,0,0.038069349381344
"Human.Planet",0,0.0653720450460614,0.256776295506548,0.0716114874039433,1,0,0.161822678812547,0.143222974807887,0,0.118262479197817,0,0.057831493196624,0,0.125436301501064,0,0,0.0515026202624605,0,0,0,0,0,0,0.0636284762975778,0,0.0591312395989083,0.0605227532668802,0,0.0741249316661101,0,0,0,0.0605227532668802,0.0698856557814612,0,0,0,0.0554700196225229,0
"The.Blue.Planet",0,0,0.106198848810718,0,0,1,0,0,0,0,0,0,0.086710996952412,0,0.296174438879546,0,0.0426014322842305,0,0,0.0888523316638638,0,0,0.0500626174321759,0,0.0811107105653813,0.0978231976089037,0.200250469728704,0,0.18394180184549,0,0,0,0,0.202325659555628,0.0592348877759092,0,0,0,0.236778532022108
"The.Godfather",0.042107596053326,0.0343807082086265,0.0900298273212687,0.112986536573206,0.161822678812547,0,1,0.112986536573206,0.0343807082086265,0.0621970413571123,0,0,0.0275658923209986,0.131939849140063,0,0.0922531208028885,0.0270864489243943,0.0389840587792725,0,0.112986536573206,0,0.145864991497895,0,0.0669274481410255,0.0515710623129397,0.0621970413571123,0.0318303507039615,0.145864991497895,0.0974601469481813,0.190982104223769,0.0439799497133542,0.141509827535445,0.0318303507039615,0.0551317846419971,0.112986536573206,0.116691993198316,0,0,0.043013239361934
"Interstellar",0,0,0.0398409536444798,0,0.143222974807887,0,0.112986536573206,1,0,0.165144564768954,0,0.0538381902058166,0.0975900072948533,0.0389249472080761,0.0666666666666667,0,0,0.0690065559342354,0,0.0666666666666667,0,0.0645497224367903,0,0.0592348877759092,0.0456435464587638,0,0.0563436169819011,0.0645497224367903,0.0690065559342354,0.0563436169819011,0,0,0.0563436169819011,0.0325300024316178,0.0666666666666667,0,0,0,0.038069349381344
"Life",0,0,0,0,0,0,0.0343807082086265,0,1,0,0.0653720450460614,0,0,0,0.0608580619450185,0,0,0.0629940788348712,0.0608580619450185,0.0608580619450185,0.282842712474619,0.117851130197758,0.308606699924184,0,0.0416666666666667,0.0502518907629606,0.154303349962092,0,0.0944911182523068,0,0,0,0,0.0890870806374748,0.0608580619450185,0,0,0,0.0695048046856916
"Pulp.Fiction",0,0,0.0657951694959769,0.055048188256318,0.118262479197817,0,0.0621970413571123,0.165144564768954,0,1,0,0,0.080582296402538,0.224988521286629,0,0,0.0395903791232448,0.056980288229819,0,0.082572282384477,0,0.106600358177805,0,0.0489115988044518,0.113066754216661,0.0454545454545455,0,0,0.0284901441149095,0,0.0642824346533225,0.103417537999004,0.372193684159388,0,0,0.255840859626732,0,0,0.0628694613461931
